species,latin,recording,duration_s,fs,n_channels,n_markers,distance_mm,stim_start_s,stim_stop_s
Sensitive Mimosa,Mimosa pudica,BYB_Recording_2024-06-27_17.07.10,34.15,5000.0,2,0,,,
Sensitive Mimosa,Mimosa pudica,BYB_Recording_2024-06-27_17.25.17,24.9,5000.0,2,0,,,
Sensitive Mimosa,Mimosa pudica,BYB_Recording_2024-06-27_17.42.19,46.09,5000.0,2,0,,,
Sensitive Mimosa,Mimosa pudica,BYB_Recording_2024-06-27_18.31.29,21.91,5000.0,2,0,,,
Sensitive Mimosa,Mimosa pudica,BYB_Recording_2024-06-27_18.48.14,30.31,5000.0,2,0,,,
Sensitive Mimosa,Mimosa pudica,BYB_Recording_2024-06-27_19.01.26,24.25,5000.0,2,0,,,
Sensitive Mimosa,Mimosa pudica,BYB_Recording_2024-06-27_19.15.52,25.82,5000.0,2,0,,,
Sensitive Mimosa,Mimosa pudica,BYB_Recording_2024-06-27_19.57.29,20.05,5000.0,2,0,,,
Sensitive Mimosa,Mimosa pudica,BYB_Recording_2024-07-08_16.06.58,32.74,5000.0,2,0,,,
Sensitive Mimosa,Mimosa pudica,BYB_Recording_2024-07-08_17.02.56,34.04,5000.0,2,0,,,
Sensitive Mimosa,Mimosa pudica,BYB_Recording_2024-07-08_17.19.08,25.1,5000.0,2,0,,,
Sensitive Mimosa,Mimosa pudica,BYB_Recording_2024-07-10_12.31.11,58.86,42661.0,2,0,,,
Sensitive Mimosa,Mimosa pudica,BYB_Recording_2024-07-10_12.56.35,28.93,42661.0,2,0,,,
Sensitive Mimosa,Mimosa pudica,BYB_Recording_2024-07-11_11.28.52,29.96,42661.0,2,0,,,
Sensitive Mimosa,Mimosa pudica,BYB_Recording_2024-07-11_11.50.12,26.95,42661.0,2,0,,,
Sensitive Mimosa,Mimosa pudica,BYB_Recording_2024-07-11_12.37.51,18.56,42661.0,2,0,,,
Sensitive Mimosa,Mimosa pudica,BYB_Recording_2024-07-11_13.14.26,56.77,42661.0,2,0,,,
Tomato,Solanum lycopersicum,BYB_Recording_2024-02-03_21.26.23,30.96,5000.0,2,2,,7.7,14.6168
Tomato,Solanum lycopersicum,BYB_Recording_2024-02-03_21.30.34,31.71,5000.0,2,2,,8.2612,19.1276
Tomato,Solanum lycopersicum,BYB_Recording_2024-02-06_19.19.43,38.07,5000.0,2,2,,7.8002,17.2956
Tomato,Solanum lycopersicum,BYB_Recording_2024-02-06_20.01.08,21.89,5000.0,2,1,,5.5392,
Tomato,Solanum lycopersicum,BYB_Recording_2024-02-12_20.26.05,41.29,5000.0,2,2,,7.2066,16.255
Tomato,Solanum lycopersicum,BYB_Recording_2024-02-19_18.44.04,42.89,5000.0,2,2,,0.4528,8.135
Tomato,Solanum lycopersicum,BYB_Recording_2024-06-26_23.32.41,17.86,5000.0,2,2,,3.3554,14.2668
Tomato,Solanum lycopersicum,BYB_Recording_2024-06-26_23.54.25,19.49,5000.0,2,2,,2.6448,9.4334
Tomato,Solanum lycopersicum,BYB_Recording_2024-06-27_00.22.45,21.92,5000.0,2,2,,5.0902,11.7944
Tomato,Solanum lycopersicum,BYB_Recording_2024-06-27_00.38.23,22.66,5000.0,2,2,,4.3728,10.9472
Tomato,Solanum lycopersicum,BYB_Recording_2024-07-05_16.48.00,28.58,5000.0,2,2,,4.556,15.4686
Tomato,Solanum lycopersicum,BYB_Recording_2024-07-05_16.51.56,34.53,5000.0,2,2,,4.6464,17.3816
Tomato,Solanum lycopersicum,BYB_Recording_2024-07-09_15.12.30,30.39,42661.0,2,1,,9.6666,
Tomato,Solanum lycopersicum,BYB_Recording_2024-07-10_11.32.51,28.21,42661.0,2,1,,7.2601,
Venus Flytrap,Dionaea muscipula,BYB_Recording_2024-01-28_16.49.19,39.72,5000.0,2,2,,4.643,7.289
Venus Flytrap,Dionaea muscipula,BYB_Recording_2024-05-16_22.38.00,20.88,5000.0,2,0,,,
Venus Flytrap,Dionaea muscipula,BYB_Recording_2024-05-21_00.22.52,18.76,5000.0,2,0,,,
Venus Flytrap,Dionaea muscipula,BYB_Recording_2024-05-22_23.31.14,15.71,5000.0,2,0,,,
Venus Flytrap,Dionaea muscipula,BYB_Recording_2024-05-22_23.36.51,12.87,5000.0,2,0,,,
Venus Flytrap,Dionaea muscipula,BYB_Recording_2024-05-23_22.13.46,20.38,5000.0,2,0,,,
Venus Flytrap,Dionaea muscipula,BYB_Recording_2024-05-25_20.35.34,16.5,5000.0,2,0,,,
Venus Flytrap,Dionaea muscipula,BYB_Recording_2024-05-27_22.48.45,21.82,5000.0,2,0,,,
Venus Flytrap,Dionaea muscipula,BYB_Recording_2024-05-29_00.04.58,16.27,5000.0,2,0,,,
Venus Flytrap,Dionaea muscipula,BYB_Recording_2024-05-29_00.16.30,19.43,5000.0,2,0,,,
Venus Flytrap,Dionaea muscipula,BYB_Recording_2024-05-30_01.09.15,18.05,5000.0,2,0,,,
Venus Flytrap,Dionaea muscipula,BYB_Recording_2024-06-01_21.44.30,19.6,5000.0,2,0,,,
Venus Flytrap,Dionaea muscipula,BYB_Recording_2024-06-02_21.01.38,24.14,5000.0,2,0,,,
Venus Flytrap,Dionaea muscipula,BYB_Recording_2024-07-03_11.24.59,29.02,42661.0,2,0,,,
Venus Flytrap,Dionaea muscipula,BYB_Recording_2025-01-10_17.18.20_Venus_11 mm_2record,35.77,42661.0,2,0,11.0,,
Venus Flytrap,Dionaea muscipula,BYB_Recording_2025-01-10_17.49.47_Venus_7.5_2mm_record,39.16,42661.0,2,0,2.0,,
Venus Flytrap,Dionaea muscipula,BYB_Recording_2025-01-14_17.17.22-13 mm,28.67,42661.0,2,0,13.0,,
Venus Flytrap,Dionaea muscipula,BYB_Recording_2025-01-14_17.31.14 -11 mm,29.76,42661.0,2,0,11.0,,
