species,recording,distance_mm,gain,sigma_s,kernel_delay_s,kernel_r2,attenuation,broadening,cv
Hierbabuena,BYB_Recording_2024-02-22_17.13.41,10.83,0.241562720165594,0.9,5.56,0.8086428134251362,0.164,1.09,2.034
Hierbabuena,BYB_Recording_2024-02-22_17.17.23,8.37,0.5757633864160991,1.3,0.0,0.5571065259175432,0.359,4.311,
Hierbabuena,BYB_Recording_2024-02-26_19.52.38,7.5,0.6954990310234885,0.1,2.66,0.5873930877392075,1.06,0.626,2.815
Hierbabuena,BYB_Recording_2024-02-26_19.59.40,7.35,0.33434039284146927,0.4,2.18,0.2602383979829628,0.508,3.417,3.361
Hierbabuena,BYB_Recording_2024-03-01_17.55.10,8.25,0.4392224048014152,0.5,3.42,0.8690344524735657,0.407,0.991,2.4
Hierbabuena,BYB_Recording_2024-03-01_18.01.51,10.19,0.2415049542323671,0.2,4.58,0.8331444305493292,0.315,0.611,2.212
Hierbabuena,BYB_Recording_2024-03-01_18.08.05,7.8,0.2107042801882224,0.0,0.42,0.8227661059111775,0.233,0.92,18.431
Hierbabuena,BYB_Recording_2024-03-04_20.20.54,8.83,0.1745664110997818,3.0,3.7,0.5241355234152503,0.116,0.549,2.138
Hierbabuena,BYB_Recording_2024-03-08_21.04.08,6.56,1.934860251178974,0.0,0.44,0.9604195483320239,2.239,0.804,14.902
Hierbabuena,BYB_Recording_2024-03-08_21.12.27,8.1,0.5223963143722019,0.8,1.8,0.9488793904191514,0.284,2.55,3.969
Hierbabuena,BYB_Recording_2024-03-08_21.18.08,7.32,0.523991155814024,0.8,1.64,0.84812412642065,0.444,1.139,5.578
Hierbabuena,BYB_Recording_2024-03-08_21.22.04,6.62,0.7026507897983881,0.2,0.32,0.9944553975101456,0.644,1.05,20.508
Hierbabuena,BYB_Recording_2024-03-08_21.24.53,6.41,0.41144008024706347,0.1,0.34,0.9937072502719368,0.368,1.165,19.307
Hierbabuena,BYB_Recording_2024-03-08_21.27.40,5.72,0.4608605352171389,0.30000000000000004,0.8,0.9569609358090378,0.425,0.914,6.917
Marijuana,BYB_Recording_2025-08-23_22.07.27-28.8mm,27.8,1.4488972669320364,0.2,2.66,0.9305078822724691,1.521,0.929,10.439
Marijuana,BYB_Recording_2025-08-23_22.55.19-22mm,22.0,1.8812870548230762,0.4,1.58,0.6394227425377399,1.944,1.184,13.81
Marijuana,BYB_Recording_2025-08-23_23.19.28-21mm,21.0,1.0563200611679993,1.3,5.26,0.9403168007274068,0.733,1.565,4.042
Marijuana,BYB_Recording_2025-08-23_23.30.42-22mm,22.0,0.5629425791120918,0.30000000000000004,2.9,0.6673617517242976,0.59,1.139,7.622
Marijuana,BYB_Recording_2025-08-23_23.44.45-26mm,26.0,0.5267328631408021,0.6000000000000001,2.94,0.7108334963130227,0.451,1.264,8.835
Marijuana,BYB_Recording_2025-09-13_01.03.00-23.11mm,23.1,0.9864852356576458,2.3000000000000003,10.78,0.8041353062613751,0.73,1.186,2.103
Marijuana,BYB_Recording_2025-09-13_01.21.52-16.78mm,16.8,0.9150305204612071,1.7000000000000002,5.84,0.8658250375047035,0.648,1.041,2.849
Marijuana,BYB_Recording_2025-09-13_01.45.23-24.26mm,24.3,0.6824348823015745,0.1,1.38,0.7807625967759516,0.814,0.771,17.662
Marijuana,BYB_Recording_2025-09-15_00.20.12-21.09mm,21.1,0.912902859433251,0.4,1.36,0.7504432694615014,1.193,0.736,14.608
Marijuana,BYB_Recording_2025-09-15_00.27.51-21.09mm,18.1,2.8407161840184063,0.9,4.84,0.32472235372326563,3.201,1.468,3.907
Marijuana,BYB_Recording_2025-09-15_00.38.35-16.49mm,16.5,1.2787775540015618,1.5,8.02,0.8825726581997481,0.92,1.355,2.039
Marijuana,BYB_Recording_2025-09-15_00.47.20-16.06mm,16.1,0.5108960809682991,2.1,4.66,0.7910603902084546,0.216,1.272,2.969
Mint,BYB_Recording_2023-12-19_18.14.10,10.0,0.6414463590219125,1.0,3.12,0.5082456072693646,0.668,1.433,3.341
Mint,BYB_Recording_2024-01-26_19.52.38,27.11,0.3636353868990842,1.7000000000000002,4.52,0.5855595779545768,0.235,1.205,6.027
Mint,BYB_Recording_2024-01-26_20.00.04,22.39,0.8283939514642507,3.0,7.04,0.4067990934698055,0.429,0.894,5.091
Mint,BYB_Recording_2024-01-26_20.08.19,36.21,1.0890847388249516,2.8000000000000003,8.26,0.5822937629990685,0.266,2.265,3.982
