species,recording,distance_mm,a,b,tau,delayed_fraction,r2_active,r2_passive,delay_resolved2,cv_2tap
Creeping Inchplant,BYB_Recording_2024-02-26_20.12.11,16.14,0.10886027014972459,0.11705703544246558,3.0599999999997642,0.5181410743883809,0.40245377888655054,0.5638527560118531,True,5.274509803921975
Creeping Inchplant,BYB_Recording_2024-02-28_18.46.50,12.82,1.0452919140646264,1.9050871094722999,-2.880000000000109,0.6457092781213154,0.42385678361800994,0.2595443090908188,True,4.4513888888887205
Creeping Inchplant,BYB_Recording_2024-02-28_18.55.01,9.39,-4.717880177744211,7.445730628093385,-2.38000000000012,0.6121316068843643,0.4656214732239097,0.061435969694386916,True,3.945378151260306
Creeping Inchplant,BYB_Recording_2024-02-29_17.41.48,12.91,0.09651867525802646,0.2037262852335274,1.9599999999997877,0.6785335710547534,-0.08568805820895076,0.5063564597368708,True,6.586734693878265
Creeping Inchplant,BYB_Recording_2024-03-04_20.35.25,13.42,0.7694762899405473,-2.580308204165046,-8.0,0.770290807873,0.2951192187141195,-0.027369412004363047,True,1.6775
Creeping Inchplant,BYB_Recording_2024-03-04_20.43.03,14.0,0.050365067844985206,0.2491965089706021,0.8799999999998107,0.8318707346236518,0.6844107645934973,0.6309236904265644,True,15.909090909094331
Creeping Inchplant,BYB_Recording_2024-03-04_20.50.21,16.51,0.04914872299341632,0.2463827915324111,1.099999999999806,0.8336938005671776,0.7324006208012148,0.7897484568694662,True,15.009090909093556
Creeping Inchplant,BYB_Recording_2024-03-06_21.56.45,18.42,0.03145758567122581,0.07807993756760993,4.099999999999742,0.7128145247301635,0.33895428763960256,0.3921527772396616,True,4.492682926829551
Creeping Inchplant,BYB_Recording_2024-03-06_21.59.50,10.94,2.038614102563484,3.6767469691493075,-0.8400000000001526,0.643309656733105,0.6973558500720803,0.29164099309273195,True,13.023809523807158
Hierbabuena,BYB_Recording_2024-02-22_17.13.41,10.83,0.0077843938496284905,0.15788837966923547,5.319999999999716,0.9530134391771855,0.6593283795785513,0.09867303384726078,True,2.0357142857143944
