species,latin,recording,duration_s,fs,n_channels,distance_mm,stim_start_s,stim_stop_s,n_markers,near_channel,far_channel,peak_delay_s,onset_delay_s,xcorr_delay_s,xcorr_corr,cv_peak_mm_s,cv_xcorr_mm_s,cm_baseline_r,event_zero_lag_r,r0_over_rpk,delay_resolved,near_peak_amp,far_peak_amp,attenuation_far_near,near_fwhm_s,far_fwhm_s,broadening_far_near,near_rise_s,far_rise_s,rise_ratio_far_near,near_snr,far_snr,valid,flags,distance_mm_d,sheet_delay_s,cv_manual,tau_2tap,cv_2tap
Creeping Inchplant,Callisia repens,BYB_Recording_2024-02-26_20.12.11,45.29,5000.0,2,16.14,4.6336,17.786,2,0,1,2.161,0.988,1.377,0.679,7.469,11.718,0.842,0.417,0.614,True,1396.5,345.6,0.247,3.656,4.028,1.102,2.469,3.642,1.475,46.7,32.7,True,common_mode_high,16.14,1.868,8.640256959314774,3.059999999999764,5.274509803921975
Creeping Inchplant,Callisia repens,BYB_Recording_2024-02-28_18.46.50,41.68,5000.0,2,12.82,4.736,15.8066,2,1,0,3.263,3.644,1.569,0.629,3.929,8.173,-0.045,0.553,0.879,True,397.0,2599.3,6.548,1.451,1.784,1.23,1.007,0.626,0.622,19.3,127.1,True,xcorr_peak_leader_disagree,12.82,2.878,4.454482279360667,-2.880000000000109,4.4513888888887205
Creeping Inchplant,Callisia repens,BYB_Recording_2024-02-28_18.55.01,34.29,5000.0,2,9.39,5.1316,14.2546,2,1,0,6.35,6.072,2.479,0.513,1.479,3.788,0.873,-0.134,0.262,True,-378.7,7526.2,19.872,0.24,0.599,2.493,0.204,0.481,2.363,16.5,64.1,True,xcorr_peak_leader_disagree;common_mode_high;polarity_mismatch,9.39,2.294,4.093286835222319,-2.38000000000012,3.945378151260306
Creeping Inchplant,Callisia repens,BYB_Recording_2024-02-29_17.41.48,37.08,5000.0,2,12.91,6.4594,14.593,2,0,1,0.987,-1.641,1.511,0.691,13.075,8.543,0.829,0.258,0.373,True,8597.2,1500.2,0.174,0.913,2.233,2.447,2.191,4.819,2.2,66.4,13.9,True,common_mode_high,12.91,1.004,12.858565737051793,1.959999999999788,6.586734693878265
Creeping Inchplant,Callisia repens,BYB_Recording_2024-03-04_20.35.25,38.28,5000.0,2,13.42,1.3832,13.6324,2,1,0,6.554,8.139,1.433,0.772,2.048,9.366,0.879,0.663,0.858,True,-273.6,2066.8,7.554,0.328,3.062,9.323,4.535,2.95,0.651,3.1,27.8,True,xcorr_peak_leader_disagree;common_mode_high;polarity_mismatch,13.42,1.375,9.76,-8.0,1.6775
Creeping Inchplant,Callisia repens,BYB_Recording_2024-03-04_20.43.03,36.75,5000.0,2,14.0,4.3518,16.7176,2,0,1,1.097,1.173,0.804,0.844,12.764,17.404,-0.669,0.717,0.849,True,3545.8,1331.5,0.376,2.205,2.108,0.956,1.247,1.171,0.939,61.2,135.4,True,,14.0,0.975,14.35897435897436,0.8799999999998107,15.909090909094331
Creeping Inchplant,Callisia repens,BYB_Recording_2024-03-04_20.50.21,27.92,5000.0,2,16.51,4.707,13.2794,2,0,1,0.841,0.641,0.95,0.853,19.627,17.372,0.431,0.592,0.694,True,2067.5,573.3,0.277,1.864,1.977,1.061,1.467,1.667,1.137,204.9,127.8,True,,16.51,0.663,24.901960784313726,1.099999999999806,15.009090909093556
Creeping Inchplant,Callisia repens,BYB_Recording_2024-03-06_21.56.45,35.88,5000.0,2,18.42,5.2082,12.1584,2,0,1,3.863,3.527,4.111,0.694,4.768,4.481,0.958,0.192,0.277,True,9313.0,715.8,0.077,1.422,1.544,1.086,1.08,1.417,1.312,236.4,9.0,True,common_mode_high,18.42,3.871,4.758460346163782,4.099999999999742,4.492682926829551
Creeping Inchplant,Callisia repens,BYB_Recording_2024-03-06_21.59.50,35.62,5000.0,2,10.94,4.7724,14.5468,2,1,0,3.109,3.031,0.679,0.811,3.519,16.102,0.33,0.683,0.842,True,-594.0,4104.4,6.91,0.266,0.881,3.309,0.241,0.319,1.325,26.7,75.4,True,xcorr_peak_leader_disagree;polarity_mismatch,10.94,0.968,11.301652892561984,-0.8400000000001526,13.023809523807158
Hierbabuena,Clinopodium douglasii,BYB_Recording_2024-02-22_17.09.43,43.47,5000.0,2,8.07,5.3808,19.1264,2,0,1,4.288,3.231,4.039,0.299,1.882,1.998,0.997,-0.098,0.328,True,3402.6,1596.2,0.469,0.525,2.351,4.482,0.367,1.424,3.88,39.1,30.8,False,common_mode_high;low_waveform_similarity,8.07,2.768,2.915462427745665,,
Hierbabuena,Clinopodium douglasii,BYB_Recording_2024-02-22_17.13.41,43.97,5000.0,2,10.83,4.1922,15.5606,2,0,1,5.061,5.238,5.323,0.808,2.14,2.034,0.98,0.026,0.032,True,8225.7,1347.1,0.164,1.765,1.923,1.09,1.26,1.083,0.86,128.4,41.0,True,common_mode_high,10.83,4.917,2.202562538133008,5.319999999999716,2.0357142857143944
Hierbabuena,Clinopodium douglasii,BYB_Recording_2024-02-22_17.17.23,36.41,5000.0,2,8.37,4.5946,15.4798,2,0,1,7.164,5.431,0.0,0.558,1.168,,0.984,0.558,1.0,False,4282.8,1536.1,0.359,0.882,3.803,4.311,0.293,2.025,6.92,66.1,41.4,True,delay_unresolved;common_mode_high,8.37,2.485,3.368209255533199,-1.4200000000001405,5.894366197182515
Hierbabuena,Clinopodium douglasii,BYB_Recording_2024-02-26_19.52.38,40.53,5000.0,2,7.5,3.0576,12.6142,2,0,1,2.825,2.974,2.664,0.764,2.654,2.815,0.836,0.536,0.702,True,2835.5,3006.1,1.06,2.448,1.534,0.626,0.959,0.811,0.845,26.8,88.5,True,common_mode_high,7.5,2.837,2.6436376454000703,2.6799999999997723,2.7985074626868047
Hierbabuena,Clinopodium douglasii,BYB_Recording_2024-02-26_19.59.40,41.02,5000.0,2,7.35,3.9684,10.9048,2,0,1,1.327,2.449,2.187,0.535,5.537,3.361,0.631,0.336,0.629,True,1461.4,742.4,0.508,0.5,1.709,3.417,1.918,0.797,0.415,14.4,40.0,True,common_mode_high,7.35,2.096,3.5066793893129766,2.2399999999997817,3.28125000000032
Hierbabuena,Clinopodium douglasii,BYB_Recording_2024-03-01_17.55.10,29.41,5000.0,2,8.25,5.2642,9.8204,2,0,1,2.992,3.314,3.437,0.841,2.757,2.4,-0.423,0.304,0.361,True,6898.2,2808.9,0.407,1.5,1.485,0.991,1.06,0.739,0.697,119.6,60.0,True,,8.25,3.01,2.7408637873754156,3.439999999999756,2.3982558139536585
Hierbabuena,Clinopodium douglasii,BYB_Recording_2024-03-01_18.01.51,36.08,5000.0,2,10.19,1.2168,13.0316,2,0,1,4.425,4.685,4.606,0.922,2.303,2.212,0.973,0.14,0.151,True,10034.4,3161.7,0.315,2.201,1.344,0.611,0.943,0.683,0.725,150.3,98.1,True,common_mode_high,10.19,4.425,2.302824858757062,4.65999999999973,2.186695278970084
Hierbabuena,Clinopodium douglasii,BYB_Recording_2024-03-01_18.08.05,35.08,5000.0,2,7.8,6.6166,15.2016,2,0,1,0.399,0.495,0.423,0.984,19.568,18.431,0.314,0.83,0.844,True,6695.1,1559.2,0.233,1.31,1.205,0.92,0.696,0.599,0.861,262.0,57.9,True,,7.8,0.404,19.306930693069305,0.2999999999998231,26.000000000015334
Hierbabuena,Clinopodium douglasii,BYB_Recording_2024-03-04_20.20.54,30.56,5000.0,2,8.83,5.1082,12.1198,2,0,1,4.354,4.225,4.13,0.751,2.028,2.138,-0.382,0.248,0.331,True,13779.5,1605.1,0.116,2.147,1.178,0.549,0.519,0.647,1.248,276.3,76.6,True,,8.83,4.018,2.1976107516177206,4.099999999999742,2.153658536585501
