species,recording,base_r,event_r,r0,rpk,r0_over_rpk,lagpk
Hierbabuena,BYB_Recording_2024-03-01_18.01.51,0.9731310639857511,0.1396518438631701,0.1396518438631701,0.9219157432639284,0.15148005106057744,4.6062
Hierbabuena,BYB_Recording_2024-03-01_18.08.05,0.31448444508029905,0.8303755828396475,0.8303755828396475,0.9838505984644819,0.8440057709327348,0.4232
Hierbabuena,BYB_Recording_2024-03-04_20.20.54,-0.381789868392042,0.24846605221170848,0.2484660522117085,0.7511449978638403,0.3307830750631556,4.13
Hierbabuena,BYB_Recording_2024-03-08_21.04.08,0.9177532442311761,0.8450714315478993,0.8450714315478993,0.9848735718760028,0.8580506733856142,-0.4402
Hierbabuena,BYB_Recording_2024-03-08_21.06.56,0.1287277333708376,0.9594848809900554,0.9594848809900551,0.9899342849218651,0.9692409845829177,0.1868
Hierbabuena,BYB_Recording_2024-03-08_21.12.27,0.17565189668412476,0.3139413100100055,0.31394131001000564,0.8442053121015523,0.371877913476385,2.041
Hierbabuena,BYB_Recording_2024-03-08_21.18.08,0.9457868565619973,0.31445167518738615,0.31445167518738615,0.8561565798458531,0.36728290430706223,1.3124
Hierbabuena,BYB_Recording_2024-03-08_21.22.04,-0.3397092887754219,0.8874005175757631,0.8874005175757631,0.9927996661699893,0.8938364383211028,0.3228
Hierbabuena,BYB_Recording_2024-03-08_21.24.53,0.8468111331560118,0.898019026738694,0.898019026738694,0.994220058456119,0.9032396994013464,0.332
Hierbabuena,BYB_Recording_2024-03-08_21.27.40,0.04976440715529418,0.795924249506975,0.7959242495069749,0.9704209950840491,0.8201844905860051,0.827
Marijuana,BYB_Recording_2025-08-23_22.07.27-28.8mm,0.2004111780190527,0.07737955460420547,0.07737955460420545,0.9540564946256673,0.08110584125792888,-2.6632
Marijuana,BYB_Recording_2025-08-23_22.55.19-22mm,0.6433451451452424,0.08174516963787724,0.08174516963787737,0.8123350998610384,0.10062986278921231,1.593
Marijuana,BYB_Recording_2025-08-23_23.19.28-21mm,0.8601636154050114,-0.014221583640719342,-0.014221583640719251,0.8868498698214291,-0.01603606667223487,5.1956
Marijuana,BYB_Recording_2025-08-23_23.30.42-22mm,-0.1725929218980383,0.15468111123493955,0.15468111123493955,0.8085083921653167,0.1913166427631981,2.8862
Marijuana,BYB_Recording_2025-08-23_23.44.45-26mm,0.17053604407050577,0.06210093939080887,0.06210093939080884,0.8278505961608039,0.07501467013348165,2.9428
