species,recording,duration_s,potential_type,sigma,passive_gap,r2_active,r2_passive,cv_xcorr_mm_s,attenuation_far_near,broadening_far_near,xcorr_corr,peak_delay_s,valid
Ornamental Chile,BYB_Recording_2024-02-07_19.48.46,0.08,AP-like,1.3220338983050848,0.2380293388286622,0.3049509749062143,0.5429803137348767,3.766,0.977,1.776,0.691,4.763,True
Ornamental Chile,BYB_Recording_2024-02-12_19.32.29,10.695,VP-like,1.0542372881355933,0.206685661955036,0.3904472679712941,0.5971329299263302,4.749,0.908,1.693,0.648,5.795,True
Ornamental Chile,BYB_Recording_2024-02-19_18.55.40,7.31,VP-like,1.3220338983050848,0.3621226964491651,0.2352099426971173,0.5973326391462825,9.854,0.236,2.249,0.804,2.639,True
Ornamental Chile,BYB_Recording_2024-02-19_18.58.46,1.52,AP-like,1.188135593220339,0.0506804762420814,0.0694826534398033,0.1201631296818848,2.311,0.051,2.482,0.662,10.652,True
Ornamental Chile,BYB_Recording_2024-02-19_19.03.24,0.87,AP-like,0.7864406779661017,0.3437406936890119,0.5196077454745633,0.8633484391635753,13.772,0.317,1.868,0.899,1.705,True
Ornamental Chile,BYB_Recording_2024-02-19_19.07.47,1.5,AP-like,1.0542372881355933,0.1079320467903222,0.3451210507391331,0.4530530975294553,16.948,0.433,1.352,0.404,2.823,True
Ornamental Chile,BYB_Recording_2024-02-19_19.10.37,1.01,AP-like,0.9203389830508476,0.3376572813218996,0.339352838414094,0.6770101197359937,3.843,0.05,2.581,0.772,7.499,True
Ornamental Chile,BYB_Recording_2024-02-19_19.17.58,0.85,AP-like,0.652542372881356,0.1483535045814689,0.4100085945827859,0.5583620991642548,4.134,0.073,2.202,0.593,4.598,True
Ornamental Chile,BYB_Recording_2024-02-22_17.57.13,1.35,AP-like,0.5186440677966102,0.0839242915977777,0.8771614369232892,0.9610857285210668,5.848,0.443,1.246,0.951,4.351,True
Ornamental Chile,BYB_Recording_2024-02-22_18.00.13,1.195,AP-like,1.255084745762712,0.3563531520858768,0.565455981398161,0.9218091334840378,5.935,0.193,1.64,0.889,3.672,True
Ornamental Chile,BYB_Recording_2024-02-23_19.53.15,8.7,VP-like,1.6567796610169492,0.2342471768556636,0.2669081762614359,0.5011553531170996,9.149,1.466,1.674,0.411,0.306,True
Ornamental Chile,BYB_Recording_2024-02-23_19.55.48,1.9,AP-like,0.0,0.0,0.3565990974305928,0.3565990974305928,2.552,0.128,8.778,0.6,15.788,True
Ornamental Chile,BYB_Recording_2024-02-23_19.59.02,1.025,AP-like,0.05,0.0006429987082472,0.7583769569649796,0.7590199556732269,7.959,0.166,0.902,0.878,1.728,True
Ornamental Chile,BYB_Recording_2024-02-23_20.04.22,0.845,AP-like,0.5855932203389831,0.0508482374486819,0.1843453727637226,0.2351936102124046,1.698,0.175,6.602,0.426,14.248,True
Rosemary,BYB_Recording_2024-02-15_21.13.19,3.98,VP-like,0.3847457627118644,0.0012786748879244,0.1800989621961032,0.1813776370840276,2.594,3.294,7.39,0.796,2.948,True
Rosemary,BYB_Recording_2024-02-15_21.20.04,1.345,AP-like,1.5898305084745763,0.0434252901837677,0.0493609483896643,0.092786238573432,2.723,0.125,1.032,0.771,9.714,True
Rosemary,BYB_Recording_2024-02-15_21.27.05,8.72,VP-like,1.723728813559322,0.0145289608031703,0.0678660774102829,0.0823950382134532,3.366,9.169,5.817,0.577,7.169,True
Rosemary,BYB_Recording_2024-02-19_19.56.50,4.49,VP-like,0.7864406779661017,0.3229899744907438,0.2693661511877598,0.5923561256785037,4.242,0.862,1.407,0.905,4.469,True
Rosemary,BYB_Recording_2024-02-23_19.35.51,1.275,AP-like,0.1169491525423728,0.0091432916000079,0.7864292195588641,0.7955725111588721,19.64,0.408,0.76,0.642,0.815,True
Rosemary,BYB_Recording_2024-02-26_18.50.08,0.885,AP-like,0.0,0.0,0.4364411251136711,0.4364411251136711,,0.418,2.205,0.777,4.577,True
Rosemary,BYB_Recording_2024-02-26_19.10.25,1.305,AP-like,0.5855932203389831,0.0483203227293521,0.5698807975959357,0.6182011203252878,4.241,0.334,1.232,0.901,2.659,True
Rosemary,BYB_Recording_2024-02-29_17.20.55,1.34,AP-like,0.3177966101694915,0.0270416966299242,0.916164352755216,0.9432060493851404,,0.433,0.901,0.952,0.916,True
Ruda,BYB_Recording_2024-01-17_20.14.33,0.66,AP-like,0.1838983050847457,0.0297015998873548,0.8082462654108126,0.8379478652981674,31.472,0.418,0.75,0.949,0.454,True
Ruda,BYB_Recording_2024-02-05_19.17.48,7.14,VP-like,0.2508474576271186,0.0409961193144303,0.1762678324467356,0.2172639517611659,10.016,0.378,2.239,0.738,1.533,True
