species,recording,norm,r2_active,r2_passive,sigma,gain_active,gain_passive,tau,bic_active,bic_passive,passive_gap,winner
Basil,BYB_Recording_2024-02-12_20.13.13,norm,0.35719570190291927,0.3703206495808682,0.4516949152542373,0.37584789916482736,0.5627412275536772,0.6048,-13014.048450284274,-13074.695272790666,0.013124947677948917,passive
Basil,BYB_Recording_2024-02-12_20.13.13,raw,-21.477538364099125,0.029030055323330584,2.9957627118644066,1.0,1.0,0.6048,37473.42777262969,35074.75737082362,21.506568419422457,passive
Basil,BYB_Recording_2024-02-19_18.33.59,norm,0.14586796253647205,0.23421399972824009,0.5186440677966102,0.3893988831405076,0.8631330385480946,7.9967999999999995,-17579.03909205741,-18056.06710448494,0.08834603719176803,passive
Basil,BYB_Recording_2024-02-19_18.33.59,raw,-5.116352189480386,0.05853228482510442,1.6567796610169492,1.0,1.0,7.9967999999999995,41293.384215688435,37954.113688549296,5.1748844743054905,passive
Basil,BYB_Recording_2024-02-23_19.15.06,norm,0.6084136770309976,0.6377195159526992,0.18389830508474575,0.8581956356207102,0.9701155124338091,4.3848,-9901.01790242142,-10097.336609053724,0.029305838921701577,passive
Basil,BYB_Recording_2024-02-23_19.15.06,raw,-24.861181603197753,0.296155735487476,1.8576271186440678,1.0,1.0,4.3848,29525.546092810666,26793.325231748502,25.15733733868523,passive
Basil,BYB_Recording_2024-02-26_19.20.30,norm,0.366857501519287,0.5486808589703175,0.652542372881356,1.0910514449179314,2.707879233979863,0.0252,-14157.478544028318,-15605.76645229349,0.1818233574510305,passive
Basil,BYB_Recording_2024-02-26_19.20.30,raw,-94.18630329666526,0.2519739739604081,2.0584745762711862,1.0,1.0,0.0252,41814.84702293906,37593.51757625222,94.43827727062566,passive
Basil,BYB_Recording_2024-02-26_19.38.09,norm,0.7871953255225245,0.8142359810890953,0.18389830508474575,1.1347264299285427,1.2523817939828754,0.0252,-22524.13563658047,-23197.277465016443,0.02704065556657087,passive
Basil,BYB_Recording_2024-02-26_19.38.09,raw,0.22603157463460632,0.22603157463460632,0.0,1.0,1.0,0.0252,65585.37368877568,65593.89407685799,0.0,active
Chilean Chile,BYB_Recording_2024-02-20_20.46.43,norm,0.8048030528065001,0.81664903857483,0.18389830508474575,0.7929619706569043,0.8369560861201104,3.2424,-13628.896049459036,-13805.659101109515,0.011845985768329848,passive
Chilean Chile,BYB_Recording_2024-02-20_20.46.43,raw,-1.826878163370388,0.6162525450432362,1.1211864406779661,1.0,1.0,3.2424,35205.886355805145,30343.493717928777,2.4431307084136242,passive
Chilean Chile,BYB_Recording_2024-02-23_20.12.50,norm,0.07596664758081717,0.12097248716927722,0.3847457627118644,0.8533957141002713,3.595569524917748,0.0084,-21163.41123461639,-21426.83759972172,0.04500583958846005,passive
