species,recording,duration_s,potential_type,sigma,r2_active,r2_passive,passive_gap,cv_xcorr_mm_s,valid
Sensitive Mimosa,BYB_Recording_2024-07-10_12.56.35,0.718970488267973,AP-like,0.1169491525423728,0.2429617666793315,0.2450121022263154,0.0020503355469838,1.091,True
Sensitive Mimosa,BYB_Recording_2024-07-11_11.28.52,0.6241063266215044,AP-like,0.0,0.8606988758204401,0.8606988758204401,0.0,10.536,True
Sensitive Mimosa,BYB_Recording_2024-07-11_11.50.12,0.9236773633998265,AP-like,0.0,0.7906012053794625,0.7906012053794625,0.0,14.289,True
Sensitive Mimosa,BYB_Recording_2024-07-11_12.37.51,0.6390848784604205,AP-like,0.05,0.8285143727421483,0.8301650587462794,0.001650686004131,14.354,True
Sensitive Mimosa,BYB_Recording_2024-07-11_13.14.26,26.706757928787418,VP-like,0.2508474576271186,0.2493691123424427,0.2727970159585188,0.023427903616076,7.94,True
Tomato,BYB_Recording_2024-02-03_21.26.23,3.215,VP-like,0.2508474576271186,0.7172165407125847,0.7858590387755358,0.068642498062951,,True
Tomato,BYB_Recording_2024-02-03_21.30.34,3.19,VP-like,0.0,0.3930643885686008,0.3930643885686008,0.0,16.628,True
Tomato,BYB_Recording_2024-02-06_19.19.43,6.04,VP-like,0.05,0.4039841271784972,0.4046965506517767,0.0007124234732794,8.43,True
Tomato,BYB_Recording_2024-02-06_20.01.08,0.515,AP-like,0.0,0.4001697360908849,0.4001697360908849,0.0,13.776,True
Tomato,BYB_Recording_2024-02-12_20.26.05,0.855,AP-like,1.0542372881355933,0.3388928578269589,0.6823264680375183,0.3434336102105594,1.661,True
Tomato,BYB_Recording_2024-02-19_18.44.04,3.105,VP-like,0.3847457627118644,0.4190760947831495,0.4904168514560058,0.0713407566728562,6.237,True
Tomato,BYB_Recording_2024-06-26_23.32.41,0.77,AP-like,0.5855932203389831,0.70963492330288,0.8314451344650173,0.1218102111621373,,True
Tomato,BYB_Recording_2024-06-26_23.54.25,5.485,VP-like,0.9872881355932204,0.0984239157691114,0.1874339216466712,0.0890100058775598,,True
Tomato,BYB_Recording_2024-06-27_00.22.45,5.085,VP-like,0.652542372881356,0.2813001160411099,0.541251708196357,0.2599515921552471,,True
Tomato,BYB_Recording_2024-06-27_00.38.23,9.95,VP-like,0.2508474576271186,0.2569229012747266,0.2758364698860361,0.0189135686113095,,False
Tomato,BYB_Recording_2024-07-05_16.48.00,1.72,AP-like,0.05,0.2776118522848745,0.277622878249267,1.1025964392508136e-05,3.064,True
Tomato,BYB_Recording_2024-07-05_16.51.56,1.12,AP-like,0.7194915254237289,0.543940840319473,0.7179516900905536,0.1740108497710806,10.651,True
Tomato,BYB_Recording_2024-07-09_15.12.30,1.7425048639272402,AP-like,0.2508474576271186,0.9035027274315064,0.9100005522852046,0.006497824853698,,True
Tomato,BYB_Recording_2024-07-10_11.32.51,5.232507442394693,VP-like,1.188135593220339,0.3717208998858855,0.7188358014525136,0.347114901566628,,True
Venus Flytrap,BYB_Recording_2024-01-28_16.49.19,0.655,AP-like,0.3177966101694915,0.5267546279254551,0.6690862036018743,0.1423315756764192,26.55,True
Venus Flytrap,BYB_Recording_2024-05-16_22.38.00,0.59,AP-like,0.2508474576271186,0.6423305577625875,0.7594329195907823,0.1171023618281947,29.832,True
Venus Flytrap,BYB_Recording_2024-05-21_00.22.52,0.48,AP-like,0.1838983050847457,0.6182976957212335,0.7162833278364371,0.0979856321152036,19.747,True
Venus Flytrap,BYB_Recording_2024-05-22_23.31.14,0.42,AP-like,0.1169491525423728,0.893056492732703,0.8997038357686548,0.0066473430359517,28.386,True
Venus Flytrap,BYB_Recording_2024-05-22_23.36.51,0.33,AP-like,0.1169491525423728,0.6847310319077563,0.8843505435440412,0.1996195116362848,31.947,True
Venus Flytrap,BYB_Recording_2024-05-23_22.13.46,0.415,AP-like,0.1838983050847457,0.7538398910651707,0.9279144576188488,0.1740745665536781,63.382,True
Venus Flytrap,BYB_Recording_2024-05-25_20.35.34,0.675,AP-like,0.1169491525423728,0.8788306027394672,0.8830361094786641,0.0042055067391968,43.842,True
Venus Flytrap,BYB_Recording_2024-05-27_22.48.45,0.565,AP-like,0.1838983050847457,0.8693633085144414,0.9424368389419228,0.0730735304274813,27.71,True
Venus Flytrap,BYB_Recording_2024-05-29_00.04.58,0.335,AP-like,0.05,0.59705901868071,0.610009617020884,0.0129505983401739,56.047,True
Venus Flytrap,BYB_Recording_2024-05-29_00.16.30,0.58,AP-like,0.1169491525423728,0.9517796980117796,0.9555337657436884,0.0037540677319088,24.286,True
Venus Flytrap,BYB_Recording_2024-05-30_01.09.15,0.595,AP-like,0.1169491525423728,0.9036122517193458,0.9146055918265334,0.0109933401071876,,True
Venus Flytrap,BYB_Recording_2024-06-01_21.44.30,0.475,AP-like,0.1169491525423728,0.8088873516861074,0.8437165177226773,0.0348291660365699,,True
Venus Flytrap,BYB_Recording_2024-06-02_21.01.38,0.485,AP-like,0.05,0.8684580440207399,0.8753773826536717,0.0069193386329318,,False
Venus Flytrap,BYB_Recording_2024-07-03_11.24.59,12.227491151168515,VP-like,0.4516949152542373,0.1897507254380567,0.2829680402092019,0.0932173147711452,22.214,True
Venus Flytrap,BYB_Recording_2025-01-10_17.18.20_Venus_11 mm_2record,3.1504887367853542,VP-like,0.5855932203389831,0.1914490619737876,0.2197432606374422,0.0282941986636545,37.884,True
Venus Flytrap,BYB_Recording_2025-01-10_17.49.47_Venus_7.5_2mm_record,7.3245118492299754,VP-like,0.1838983050847457,0.5226219151139719,0.5916415170858937,0.0690196019719218,19.576,True
Venus Flytrap,BYB_Recording_2025-01-14_17.17.22-13 mm,8.952181149058859,VP-like,0.1169491525423728,0.8632996708338987,0.8752783801581415,0.0119787093242428,48.326,True
Venus Flytrap,BYB_Recording_2025-01-14_17.31.14 -11 mm,7.279576193713227,VP-like,0.2508474576271186,0.8737185437230346,0.95973016468002,0.0860116209569853,14.432,True
